Name,seq,beat_id,beat_desc,pos,speaker_guess,dialogue,optional
OPT_MQ1_Inciting_516145,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,516145,Saghir,“How will we know where to go?”,1
OPT_MQ1_Inciting_516206,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,516206,Saghir,--- Page 283 ---,1
OPT_MQ1_Inciting_516223,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,516223,Saghir,“The academy will guide you.”,1
OPT_MQ1_Inciting_540322,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,540322,Saghir,“Who can tell me when our city was founded?”,1
OPT_MQ1_Inciting_561700,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,561700,,"“And…I am so small. I cannot reach the Catalyst on my own. Once we enter the Reactor, if I fall off friend Xal or whoever I am with…then I will die in there.”",1
OPT_MQ1_Inciting_567862,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,567862,Olivantia,"“When we went to war with Olivanticus, a vastly superior foe who outnumbered us seventeen to one, how did we beat them?”",1
OPT_MQ1_Inciting_596516,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,596516,Tissa,“Of course it is.”,1
OPT_MQ1_Inciting_618866,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,618866,Saghir,“Will this coin be enough to train the both of us?”,1
OPT_MQ1_Inciting_685026,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,685026,Saghir,"“That’s a dwarf,”",1
OPT_MQ1_Inciting_685064,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,685064,Saghir,"“Very rare. They hail from Valys, though I have no idea what would take one so far from their homeland.”",1
OPT_MQ1_Inciting_712660,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,712660,Saghir,“Let’s talk about what we learned today. Where did you make mistakes? Where could you have improved? What other tactics could you employ?”,1
OPT_MQ1_Inciting_731319,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,731319,,"“That will be useful in the Reactor, of course, but will also blunt Darius’s, Saghir’s, and Erik’s magic.”",1
OPT_MQ1_Inciting_851477,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,851477,Saghir,"“By the sands,”",1
OPT_MQ1_Inciting_851511,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,851511,Saghir,“You told true. We are elsewhere. The mirror transported us. This level of power is…unheard of. It defies everything I have learned.”,1
OPT_MQ1_Inciting_851645,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,851645,Saghir,“I can take us to one who might know how this magic functions.”,1
OPT_MQ1_Inciting_872158,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,872158,,"“If we win, we’ll have enough coin to outfit ourselves properly for the run on the Reactor. And Erik will find that we are no easy prey.”",1
OPT_MQ1_Inciting_937333,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,937333,,“I…what I am about to share I must apologize for in advance. You all know of Erik’s animosity toward me. He’s made no secret of it. What I haven’t been as forthright with is that…Erik seeks my death within the Reactor.”,1
OPT_MQ1_Inciting_943137,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,943137,Erik,“Calm yourself.”,1
OPT_MQ1_Inciting_959900,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,959900,Saghir,“We must stay on safe ground.”,1
OPT_MQ1_Inciting_961466,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,961466,Ashianna,--- Page 530 ---,1
OPT_MQ1_Inciting_961666,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,961666,Ashianna,"“I don’t think he’s going to make it,”",1
OPT_MQ1_Inciting_961955,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,961955,Saghir,"“We should keep moving,”",1
OPT_MQ1_Inciting_962161,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,962161,Saghir,"“We’re exposed out here,”",1
OPT_MQ1_Inciting_985817,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,985817,,“Olivanticus didn’t hail from Hasra. Xal does.”,1
OPT_MQ1_Inciting_1014242,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1014242,Saghir,“You do not look well. Do your injuries require attention?”,1
OPT_MQ1_Inciting_1086160,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1086160,Saghir,“I do possess the blessing of greater ﬁre. I am guessing you wish me to scry?”,1
OPT_MQ1_Inciting_1088489,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1088489,Saghir,"“Brilliant is what it is,”",1
OPT_MQ1_Inciting_1130660,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1130660,Primum Linus,"“We’ve taken signiﬁcant damage in that last volley. It seems the reactor is oﬄine, and we’re having trouble removing the spiders. Our Guild artiﬁcer set to work on repairs, but it will take time. As a precaution, I’d recommend we load you up on your griﬀin and send you skyward until the situation is—”",1
OPT_MQ1_Inciting_1345859,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1345859,Ephram,“Can you hear me?”,1
OPT_MQ1_Inciting_1351888,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1351888,Ephram,“Where does it all come from?”,1
OPT_MQ1_Inciting_1352015,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1352015,Ephram,--- Page 180 ---,1
OPT_MQ1_Inciting_1393684,,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1393684,Saghir,“There are some.”,1
