Name,act,scene,dp_id,row_type,prompt_text,option_key,option_text,immediate,long_term
DP_1_PROMPT,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1,PROMPT,Approach to the void-lake,,,,
DP_1_OPT_A,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1,OPTION,Approach to the void-lake,A,Perform the cautious ritual.,+LI_TRUST; +CAW_DISCIPLINE; -VOID_TAINT (minor),Set RITUAL_RESPECT=1
DP_1_OPT_B,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1,OPTION,Approach to the void-lake,B,Improvise and drink.,+VOID_TAINT (moderate); +ARENA_HEAT (minor),Set RITUAL_RESPECT=0
DP_1_OPT_C,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1,OPTION,Approach to the void-lake,C,Refuse; seek alternative power.,Delay Catalyst onset; +GHOSTFLEET_INTEL (if exploration succeeds),Unlock side scene S1b
DP_1A_PROMPT,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1A,PROMPT,Save Nef or secure the relics (time-boxed),,,,
DP_1A_OPT_A,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1A,OPTION,Save Nef or secure the relics (time-boxed),A,Save Nef first.,+REP_DIMS; +LI_TRUST (minor); Lose some loot,Set NEF_SAVED=1
DP_1A_OPT_B,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-1A,OPTION,Save Nef or secure the relics (time-boxed),B,Secure relics first.,+Artifacts; +VOID_TAINT (minor risk),Set NEF_SAVED=0; Unlock guilt banter later
DP_2_PROMPT,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-2,PROMPT,Kazon’s parley (bread/salt/name),,,,
DP_2_OPT_A,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-2,OPTION,Kazon’s parley (bread/salt/name),A,Accept bread & offer prayer.,+TISSA_LOYALTY; Flag PRAYER_BOUND=1,Enable omen scenes
DP_2_OPT_B,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-2,OPTION,Kazon’s parley (bread/salt/name),B,Decline bread; distance.,+CAW_DISCIPLINE; -REP_DIMS (minor),No omen scenes
DP_2A_PROMPT,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-2A,PROMPT,Accept a demon mark as safe-conduct,,,,
DP_2A_OPT_A,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-2A,OPTION,Accept a demon mark as safe-conduct,A,Accept the mark (hidden).,+Mobility; +Kazon favor; -REP_HASRA,Flag DEMON_MARK=1; Special checks later
DP_2A_OPT_B,Act I — The Call and the Warrens (with Added Decisions),S1 — Into the Warrens,DP-2A,OPTION,Accept a demon mark as safe-conduct,B,Refuse the mark.,+REP_HASRA; +CAW_DISCIPLINE,Flag DEMON_MARK=0
DP_3_PROMPT,Act I — The Call and the Warrens (with Added Decisions),S2 — The Call — Conscript Muster,DP-3,PROMPT,Handle barracks hazing,,,,
DP_3_OPT_A,Act I — The Call and the Warrens (with Added Decisions),S2 — The Call — Conscript Muster,DP-3,OPTION,Handle barracks hazing,A,Stand up publicly.,+ARENA_HEAT; +REP_DIMS; Injury risk,Unlock duel tutorial S2a
DP_3_OPT_B,Act I — The Call and the Warrens (with Added Decisions),S2 — The Call — Conscript Muster,DP-3,OPTION,Handle barracks hazing,B,De-escalate (doctrine).,+CAW_DISCIPLINE; +Caw mentor scenes,Set CAW_MENTOR=1
DP_3_OPT_C,Act I — The Call and the Warrens (with Added Decisions),S2 — The Call — Conscript Muster,DP-3,OPTION,Handle barracks hazing,C,Stealth payback via Tissa.,+TISSA_LOYALTY; +VOID_TAINT (minor if void used),Add stealth tag later
DP_3A_PROMPT,Act I — The Call and the Warrens (with Added Decisions),S2 — The Call — Conscript Muster,DP-3A,PROMPT,Choose dec/quin composition for training,,,,
DP_3A_OPT_A,Act I — The Call and the Warrens (with Added Decisions),S2 — The Call — Conscript Muster,DP-3A,OPTION,Choose dec/quin composition for training,A,Shield-heavy dec (tanks).,+Survivability; -Tempo,Tag DECCOMP=SHIELD
