Name,seq,beat_id,beat_desc,pos,speaker_guess,dialogue,optional
MQ_00001,1,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,871568,Saghir,"“I will do whatever I must to protect you from Erik when we attempt the Reactor. Almost, if we survive, I begin to believe that we can change things, and this I would see. I would have my people free, one day.”",0
MQ_00002,2,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1393526,Saghir,“I notice there are no servants here. Even nobility serves themselves. It must be insanely challenging for Erik and Darius. Are there no slaves as in Hasra?”,0
MQ_00003,3,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,540515,Saghir,"“Ah, well, I shouldn’t expect more. Remedying ignorance is my job, after all, but this will be quite the monumental task. The Hasran Settlement was first chartered during the height of Elentian power, long before the Fall bisected their empire with the Ashlands. You will simply love that chapter when we get there. Ash rained for a year and a day, sent by the Stewards as punishment for the Mad Emperor’s hubris. But I am getting ahead of myself, as I always do.”",0
MQ_00004,4,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,712914,Saghir,"“I need a way to secure myself to friend Xal’s collar. Time permitting, I would have us construct or purchase a box lined with chain that I can hide in, sewn upon his back somehow.”",0
MQ_00005,5,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1086043,Saghir,“I am called Saghir.”,0
MQ_00006,6,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,540244,Saghir,"“Hasran Settlement,”",0
MQ_00007,7,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,618918,Saghir,"“That scale is worth a thousand Hasran golden eagles, so yes, more than enough for the both of you. However, your training would be very different.”",0
MQ_00008,8,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1014139,Saghir,“Friend Xal?”,0
MQ_00009,9,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,1393462,Saghir,"“Friend Li,”",0
MQ_00010,10,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,38041,Tissa,"“Naunet, be sated. Atum, hold sway.”",0
MQ_00011,11,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,38184,Tissa,--- Page 22 ---,0
MQ_00012,12,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,38200,Tissa,“How the depths did you know to do that?”,0
MQ_00013,13,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,38277,Tissa,“The words came from the journal we landed last month.”,0
MQ_00014,14,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,38445,Tissa,"“A trap like this can hold a disintegrate spell, but it can’t reset. That means that no one has been beyond this point. If they had, the spell would have to be inactive. We’re the first people here in decades.”",0
MQ_00015,15,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,109948,Even Cili,--- Page 58 ---,0
MQ_00016,16,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,110210,Even Cili,--- Page 59 ---,0
MQ_00017,17,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,146637,Li,--- Page 77 ---,0
MQ_00018,18,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,353133,Li,"“Brace yourself,”",0
MQ_00019,19,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,379328,Darius,"“Saghir, you and Jun seem to know the most about how Hasra works. Do you know what we’re walking into? All my mother told me was that if we lived, we’d get a choice. Money or school, like Darius said.”",0
MQ_00020,20,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,405990,Lucretia,"“You cannot afford to be a child any longer, Erik. You are the heir to the Hasran Imperium. You must think through every action, from every angle, as your mother has taught you.”",0
MQ_00021,21,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,469238,Li,“What did he mean about the Catalyst?”,0
MQ_00022,22,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,469372,Li,"“that at the end of term we will be administered a series of final exams. If we pass those exams, then we will be granted access to the Reactor itself. You were in the palace. Do you remember when we arrived and you could see through the floor?”",0
MQ_00023,23,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,512941,,"“A correct answer. How very rare. The first in your class today, unless you count Ephram, and he was held back last year for cowardice. How did you know when Olivanticus was killed?”",0
MQ_00024,24,MQ1_Inciting,Inciting Incident — Reactor unrest in Hasra,515995,Saghir,"“There. I was able to fit the entire assessment into a single class. I am amazing. Now then…scurry away, little urchins, and find your next classes.”",0
MQ_00025,25,MQ2_Palace,Palace engagement — Princess Li sets the charge,519890,Ephram,"“That’s Princess Li,”",0
