Name,quest,hub,id,type,speaker,title,emotion,anim,line_or_prompt,option_key,option_text,checks,conditions,set_flags,grants,next
GA_001_LINE,Glow Audit,Hasra Reactor,GA_001,DIALOGUE,Inspector Rhal,,urgent,,You're Xal. Good. I filed an anomaly report—someone erased it. Help me prove I'm not mad.,,,[],[],"[""ga_briefed""]",{},GA_002
GA_002_DECISION,Glow Audit,Hasra Reactor,GA_002,DECISION,,,,,How do you respond to Rhal's request?,,,[],[],[],{},
GA_002_OPT_A,Glow Audit,Hasra Reactor,GA_002,DECISION_OPTION,,,,,How do you respond to Rhal's request?,A,I'll help. But we do this clean.,[],[],"[""ga_help_clean""]","{""rep"": {""rep_palace"": ""+1""}}",GA_003
GA_002_OPT_B,Glow Audit,Hasra Reactor,GA_002,DECISION_OPTION,,,,,How do you respond to Rhal's request?,B,I'll help—no promises about 'clean.',[],[],"[""ga_help_dirty""]","{""rep"": {""rep_underbelly"": ""+1""}}",GA_003
GA_002_OPT_C,Glow Audit,Hasra Reactor,GA_002,DECISION_OPTION,,,,,How do you respond to Rhal's request?,C,Not my fight.,[],[],"[""ga_refused""]",{},GA_DENY
GA_003_LINE,Glow Audit,Hasra Reactor,GA_003,DIALOGUE,Saghir,,wry,,Anomalies do love company. I'll bring the lenses. And a fireproof prayer.,,,[],[],[],{},GA_004
GA_004_LINE,Glow Audit,Hasra Reactor,GA_004,DIALOGUE,Ashianna Keth,,neutral,,"If you're already breaking rules, break the right ones. I can ghost you past Sublevel seals.",,,[],"[""ga_help_dirty""]",[],{},GA_005
GA_005_DECISION,Glow Audit,Hasra Reactor,GA_005,DECISION,,,,,Approach the Sublevel archives?,,,[],[],[],{},
GA_005_OPT_A,Glow Audit,Hasra Reactor,GA_005,DECISION_OPTION,,,,,Approach the Sublevel archives?,A,Authorized route with forged pass (skill: Etiquette or Clearance ≥1).,"[""academy_clearance>=1""]",[],[],{},GA_006_AUTH
GA_005_OPT_B,Glow Audit,Hasra Reactor,GA_005,DECISION_OPTION,,,,,Approach the Sublevel archives?,B,Ghost route with Ashianna (risk alarms).,[],[],"[""ga_ghost_route""]",{},GA_006_GHOST
GA_006_AUTH_LINE,Glow Audit,Hasra Reactor,GA_006_AUTH,DIALOGUE,Gate Warden,,stern,,Pass your credentials. Don't stare at the glow; it stares back.,,,[],[],[],{},GA_007
GA_006_GHOST_LINE,Glow Audit,Hasra Reactor,GA_006_GHOST,DIALOGUE,Saghir,,urgent,,Tripwire glyph. Three breaths. Two if you're feeling immortal.,,,[],[],[],{},GA_007
GA_007_DECISION,Glow Audit,Hasra Reactor,GA_007,DECISION,,,,,You find the erased report and a second file implicating a palace advisor. Do you…,,,[],[],[],{},
GA_007_OPT_A,Glow Audit,Hasra Reactor,GA_007,DECISION_OPTION,,,,,You find the erased report and a second file implicating a palace advisor. Do you…,A,Restore and publish both.,[],[],"[""ga_published_full""]","{""rep"": {""rep_palace"": ""-2"", ""rep_city"": ""+1""}}",GA_008
GA_007_OPT_B,Glow Audit,Hasra Reactor,GA_007,DECISION_OPTION,,,,,You find the erased report and a second file implicating a palace advisor. Do you…,B,Restore Rhal’s report only.,[],[],"[""ga_published_partial""]","{""rep"": {""rep_palace"": ""+1""}}",GA_008
GA_007_OPT_C,Glow Audit,Hasra Reactor,GA_007,DECISION_OPTION,,,,,You find the erased report and a second file implicating a palace advisor. Do you…,C,Sell the advisor file to the underbelly.,[],[],"[""ga_sold_file""]","{""rep"": {""rep_underbelly"": ""+2""}, ""item"": ""coin_purse_heavy""}",GA_008
GA_008_LINE,Glow Audit,Hasra Reactor,GA_008,DIALOGUE,Inspector Rhal,,hopeful,,Either I'm vindicated or I'm out of a job. Thank you for letting truth breathe.,,,[],[],[],"{""xp"": 500}",GA_009
GA_009_LINE,Glow Audit,Hasra Reactor,GA_009,DIALOGUE,Tissa,,reflective,,Truth hurts the right people and the wrong ones. We'll treat what we can.,,,[],"[""ga_published_full""]",[],{},END_GA
GA_DENY_LINE,Glow Audit,Hasra Reactor,GA_DENY,DIALOGUE,Saghir,,disappointed,,We don't have to save everyone. But we could have saved this one.,,,[],[],[],{},END_GA
GA_OC_Saghir_LINE,Glow Audit,Hasra Reactor,GA_OC_Saghir,OPTIONAL_CONVO,,On whistleblowing,,,,,,[],"[""ga_briefed""]",[],{},
GA_OC1_LINE,Glow Audit,Hasra Reactor,GA_OC1,DIALOGUE,Saghir,,wry,,I once reported myself for unsafe experiments. Easiest ethics committee I ever chaired.,,,[],[],[],{},GA_OC2
GA_OC2_DECISION,Glow Audit,Hasra Reactor,GA_OC2,DECISION,,,,,Reply to Saghir?,,,[],[],[],{},
GA_OC2_OPT_A,Glow Audit,Hasra Reactor,GA_OC2,DECISION_OPTION,,,,,Reply to Saghir?,A,Proud of you.,[],[],"[""saghir_praised""]","{""trust"": {""trust_saghir"": ""+1""}}",END
GA_OC2_OPT_B,Glow Audit,Hasra Reactor,GA_OC2,DECISION_OPTION,,,,,Reply to Saghir?,B,That explains the scorch marks.,[],[],[],"{""trust"": {""trust_saghir"": ""+0""}}",END
AS_001_LINE,Arena Sting,Hasra Arena,AS_001,DIALOGUE,Arena Medic,,tense,,They're dosing fighters. Help me prove it before the crowd gets a corpse instead of a show.,,,[],[],"[""as_hook""]",{},AS_002
AS_002_DECISION,Arena Sting,Hasra Arena,AS_002,DECISION,,,,,Gather evidence how?,,,[],[],[],{},
AS_002_OPT_A,Arena Sting,Hasra Arena,AS_002,DECISION_OPTION,,,,,Gather evidence how?,A,Undercover as trainee (requires arena_rank≥D).,"[""arena_rank>=4""]",[],[],{},AS_003A
AS_002_OPT_B,Arena Sting,Hasra Arena,AS_002,DECISION_OPTION,,,,,Gather evidence how?,B,Bribe a bookie for ledgers.,[],[],[],"{""rep"": {""rep_underbelly"": ""+1""}}",AS_003B
AS_003A_LINE,Arena Sting,Hasra Arena,AS_003A,DIALOGUE,Macha,,stern,,"You want in, you earn it. First round's honest. The rest—make them honest.",,,[],[],[],{},AS_004
AS_003B_LINE,Arena Sting,Hasra Arena,AS_003B,DIALOGUE,Desidria Vale,,amused,,Truth has a purse. Pay it and smile for the patrons.,,,[],[],[],{},AS_004
